Weekly Los Angeles All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_Y05LA_DPG&f=W
20:04:09 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly Los Angeles All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
11/7/2022,5.297
10/31/2022,5.359
10/24/2022,5.529
10/17/2022,5.883
10/10/2022,6.224
10/3/2022,6.303
09/26/2022,5.696
09/19/2022,5.274
09/12/2022,5.214
09/5/2022,5.113
08/29/2022,5.074
08/22/2022,5.164
08/15/2022,5.261
08/8/2022,5.342
08/1/2022,5.523
07/25/2022,5.617
07/18/2022,5.774
07/11/2022,5.976
07/4/2022,6.127
06/27/2022,6.2
06/20/2022,6.265
06/13/2022,6.326
06/6/2022,6.236
05/30/2022,6.039
05/23/2022,5.955
05/16/2022,5.866
05/9/2022,5.732
05/2/2022,5.652
04/25/2022,5.625
04/18/2022,5.674
04/11/2022,5.736
04/4/2022,5.843
03/28/2022,5.928
03/21/2022,5.843
03/14/2022,5.702
03/7/2022,5.307
02/28/2022,4.764
02/21/2022,4.65
02/14/2022,4.622
02/7/2022,4.594
01/31/2022,4.564
01/24/2022,4.55
01/17/2022,4.567
01/10/2022,4.569
01/3/2022,4.565
12/27/2021,4.547
12/20/2021,4.552
12/13/2021,4.566
12/6/2021,4.581
11/29/2021,4.609
11/22/2021,4.604
11/15/2021,4.581
11/8/2021,4.494
11/1/2021,4.473
10/25/2021,4.459
10/18/2021,4.4
10/11/2021,4.322
10/4/2021,4.296
09/27/2021,4.287
09/20/2021,4.271
09/13/2021,4.274
09/6/2021,4.275
08/30/2021,4.276
08/23/2021,4.275
08/16/2021,4.285
08/9/2021,4.274
08/2/2021,4.269
07/26/2021,4.251
07/19/2021,4.252
07/12/2021,4.238
07/5/2021,4.205
06/28/2021,4.183
06/21/2021,4.149
06/14/2021,4.152
06/7/2021,4.15
05/31/2021,4.126
05/24/2021,4.072
05/17/2021,4.051
05/10/2021,4.026
05/3/2021,3.986
04/26/2021,3.94
04/19/2021,3.914
04/12/2021,3.877
04/5/2021,3.871
03/29/2021,3.845
03/22/2021,3.851
03/15/2021,3.823
03/8/2021,3.743
03/1/2021,3.677
02/22/2021,3.572
02/15/2021,3.456
02/8/2021,3.425
02/1/2021,3.358
01/25/2021,3.309
01/18/2021,3.271
01/11/2021,3.194
01/4/2021,3.148
12/28/2020,3.133
12/21/2020,3.106
12/14/2020,3.077
12/7/2020,3.069
11/30/2020,3.057
11/23/2020,3.046
11/16/2020,3.056
11/9/2020,3.064
11/2/2020,3.07
10/26/2020,3.097
10/19/2020,3.1
10/12/2020,3.103
10/5/2020,3.109
09/28/2020,3.124
09/21/2020,3.133
09/14/2020,3.142
09/7/2020,3.147
08/31/2020,3.145
08/24/2020,3.137
08/17/2020,3.119
08/10/2020,3.108
08/3/2020,3.119
07/27/2020,3.112
07/20/2020,3.091
07/13/2020,3.084
07/6/2020,3.044
06/29/2020,3.037
06/22/2020,3.011
06/15/2020,2.957
06/8/2020,2.928
06/1/2020,2.866
05/25/2020,2.837
05/18/2020,2.779
05/11/2020,2.737
05/4/2020,2.723
04/27/2020,2.751
04/20/2020,2.787
04/13/2020,2.849
04/6/2020,2.971
03/30/2020,3.04
03/23/2020,3.161
03/16/2020,3.323
03/9/2020,3.415
03/2/2020,3.479
02/24/2020,3.487
02/17/2020,3.478
02/10/2020,3.47
02/3/2020,3.46
01/27/2020,3.478
01/20/2020,3.492
01/13/2020,3.507
01/6/2020,3.517
12/30/2019,3.531
12/23/2019,3.54
12/16/2019,3.591
12/9/2019,3.638
12/2/2019,3.735
11/25/2019,3.819
11/18/2019,3.903
11/11/2019,3.982
11/4/2019,4.015
10/28/2019,3.985
10/21/2019,4.073
10/14/2019,4.157
10/7/2019,4.176
09/30/2019,4.063
09/23/2019,3.697
09/16/2019,3.572
09/9/2019,3.569
09/2/2019,3.555
08/26/2019,3.48
08/19/2019,3.507
08/12/2019,3.531
08/5/2019,3.595
07/29/2019,3.599
07/22/2019,3.622
07/15/2019,3.663
07/8/2019,3.689
07/1/2019,3.678
06/24/2019,3.652
06/17/2019,3.718
06/10/2019,3.784
06/3/2019,3.858
05/27/2019,3.9
05/20/2019,3.954
05/13/2019,4
05/6/2019,4.057
04/29/2019,4.043
04/22/2019,4.024
04/15/2019,4.017
04/8/2019,3.821
04/1/2019,3.612
03/25/2019,3.46
03/18/2019,3.315
03/11/2019,3.288
03/4/2019,3.275
02/25/2019,3.273
02/18/2019,3.253
02/11/2019,3.24
02/4/2019,3.202
01/28/2019,3.184
01/21/2019,3.209
01/14/2019,3.201
01/7/2019,3.231
12/31/2018,3.282
12/24/2018,3.317
12/17/2018,3.312
12/10/2018,3.365
12/3/2018,3.452
11/26/2018,3.541
11/19/2018,3.59
11/12/2018,3.644
11/5/2018,3.713
10/29/2018,3.768
10/22/2018,3.79
10/15/2018,3.799
10/8/2018,3.803
10/1/2018,3.717
09/24/2018,3.591
09/17/2018,3.584
09/10/2018,3.585
09/3/2018,3.574
08/27/2018,3.534
08/20/2018,3.533
08/13/2018,3.557
08/6/2018,3.578
07/30/2018,3.573
07/23/2018,3.574
07/16/2018,3.595
07/9/2018,3.609
07/2/2018,3.61
06/25/2018,3.622
06/18/2018,3.66
06/11/2018,3.693
06/4/2018,3.709
05/28/2018,3.718
05/21/2018,3.699
05/14/2018,3.688
05/7/2018,3.708
04/30/2018,3.705
04/23/2018,3.661
04/16/2018,3.637
04/9/2018,3.615
04/2/2018,3.655
03/26/2018,3.623
03/19/2018,3.579
03/12/2018,3.55
03/5/2018,3.516
02/26/2018,3.516
02/19/2018,3.52
02/12/2018,3.515
02/5/2018,3.539
01/29/2018,3.491
01/22/2018,3.387
01/15/2018,3.343
01/8/2018,3.36
01/1/2018,3.272
12/25/2017,3.238
12/18/2017,3.153
12/11/2017,3.179
12/4/2017,3.228
11/27/2017,3.277
11/20/2017,3.306
11/13/2017,3.423
11/6/2017,3.394
10/30/2017,3.15
10/23/2017,3.124
10/16/2017,3.124
10/9/2017,3.112
10/2/2017,3.13
09/25/2017,3.172
09/18/2017,3.218
09/11/2017,3.273
09/4/2017,3.247
08/28/2017,3.129
08/21/2017,3.105
08/14/2017,3.091
08/7/2017,3.068
07/31/2017,3.06
07/24/2017,2.99
07/17/2017,2.966
07/10/2017,2.977
07/3/2017,2.97
06/26/2017,2.967
06/19/2017,3.031
06/12/2017,3.068
06/5/2017,3.129
05/29/2017,3.16
05/22/2017,3.152
05/15/2017,3.095
05/8/2017,3.081
05/1/2017,3.094
04/24/2017,3.114
04/17/2017,3.116
04/10/2017,3.093
04/3/2017,3.073
03/27/2017,3.087
03/20/2017,3.086
03/13/2017,3.098
03/6/2017,3.115
02/27/2017,3.127
02/20/2017,3.037
02/13/2017,3.037
02/6/2017,2.978
01/30/2017,2.92
01/23/2017,2.898
01/16/2017,2.906
01/9/2017,2.945
01/2/2017,2.918
12/26/2016,2.83
12/19/2016,2.778
12/12/2016,2.772
12/5/2016,2.804
11/28/2016,2.772
11/21/2016,2.811
11/14/2016,2.894
11/7/2016,2.949
10/31/2016,2.968
10/24/2016,2.898
10/17/2016,2.916
10/10/2016,2.901
10/3/2016,2.925
09/26/2016,2.842
09/19/2016,2.848
09/12/2016,2.857
09/5/2016,2.792
08/29/2016,2.788
08/22/2016,2.771
08/15/2016,2.671
08/8/2016,2.718
08/1/2016,2.763
07/25/2016,2.858
07/18/2016,2.953
07/11/2016,2.97
07/4/2016,3.038
06/27/2016,3.065
06/20/2016,2.977
06/13/2016,2.963
06/6/2016,2.945
05/30/2016,2.905
05/23/2016,2.893
05/16/2016,2.876
05/9/2016,2.874
05/2/2016,2.928
04/25/2016,2.886
04/18/2016,2.876
04/11/2016,2.855
04/4/2016,2.893
03/28/2016,2.931
03/21/2016,2.855
03/14/2016,2.794
03/7/2016,2.625
02/29/2016,2.619
02/22/2016,2.418
02/15/2016,2.55
02/8/2016,2.683
02/1/2016,2.776
01/25/2016,2.859
01/18/2016,2.95
01/11/2016,3.113
01/4/2016,3.16
12/28/2015,3.101
12/21/2015,2.934
12/14/2015,2.801
12/7/2015,2.819
11/30/2015,2.809
11/23/2015,2.839
11/16/2015,2.909
11/9/2015,2.966
11/2/2015,2.965
10/26/2015,2.97
10/19/2015,2.996
10/12/2015,3.075
10/5/2015,3.118
09/28/2015,3.163
09/21/2015,3.257
09/14/2015,3.35
09/7/2015,3.498
08/31/2015,3.6
08/24/2015,3.749
08/17/2015,3.864
08/10/2015,3.806
08/3/2015,4.044
07/27/2015,4.185
07/20/2015,4.318
07/13/2015,4.352
07/6/2015,3.58
06/29/2015,3.61
06/22/2015,3.626
06/15/2015,3.666
06/8/2015,3.767
06/1/2015,3.899
05/25/2015,3.978
05/18/2015,4.035
05/11/2015,3.901
05/4/2015,3.864
04/27/2015,3.605
04/20/2015,3.272
04/13/2015,3.202
04/6/2015,3.241
03/30/2015,3.298
03/23/2015,3.358
03/16/2015,3.485
03/9/2015,3.565
03/2/2015,3.58
02/23/2015,3.13
02/16/2015,2.918
02/9/2015,2.727
02/2/2015,2.508
01/26/2015,2.505
01/19/2015,2.542
01/12/2015,2.677
01/5/2015,2.783
12/29/2014,2.756
12/22/2014,2.821
12/15/2014,2.976
12/8/2014,3.061
12/1/2014,3.128
11/24/2014,3.149
11/17/2014,3.236
11/10/2014,3.276
11/3/2014,3.37
10/27/2014,3.463
10/20/2014,3.565
10/13/2014,3.67
10/6/2014,3.736
09/29/2014,3.74
09/22/2014,3.757
09/15/2014,3.818
09/8/2014,3.843
09/1/2014,3.858
08/25/2014,3.903
08/18/2014,3.934
08/11/2014,3.962
08/4/2014,3.987
07/28/2014,4.051
07/21/2014,4.092
07/14/2014,4.166
07/7/2014,4.235
06/30/2014,4.24
06/23/2014,4.2
06/16/2014,4.197
06/9/2014,4.194
06/2/2014,4.223
05/26/2014,4.228
05/19/2014,4.253
05/12/2014,4.269
05/5/2014,4.334
04/28/2014,4.379
04/21/2014,4.353
04/14/2014,4.332
04/7/2014,4.154
03/31/2014,4.108
03/24/2014,4.105
03/17/2014,4.098
03/10/2014,4.03
03/3/2014,3.994
02/24/2014,3.935
02/17/2014,3.836
02/10/2014,3.765
02/3/2014,3.681
01/27/2014,3.663
01/20/2014,3.678
01/13/2014,3.723
01/6/2014,3.77
12/30/2013,3.741
12/23/2013,3.715
12/16/2013,3.692
12/9/2013,3.699
12/2/2013,3.682
11/25/2013,3.634
11/18/2013,3.625
11/11/2013,3.66
11/4/2013,3.729
10/28/2013,3.781
10/21/2013,3.808
10/14/2013,3.848
10/7/2013,3.917
09/30/2013,4.008
09/23/2013,4.075
09/16/2013,4.124
09/9/2013,4.016
09/2/2013,3.928
08/26/2013,3.894
08/19/2013,3.903
08/12/2013,3.992
08/5/2013,4.058
07/29/2013,4.12
07/22/2013,4.167
07/15/2013,4.154
07/8/2013,4.103
07/1/2013,4.124
06/24/2013,4.206
06/17/2013,4.088
06/10/2013,4.054
06/3/2013,4.044
05/27/2013,4.094
05/20/2013,4.133
05/13/2013,4.139
05/6/2013,3.99
04/29/2013,3.965
04/22/2013,4.001
04/15/2013,4.086
04/8/2013,4.155
04/1/2013,4.184
03/25/2013,4.222
03/18/2013,4.276
03/11/2013,4.334
03/4/2013,4.381
02/25/2013,4.393
02/18/2013,4.364
02/11/2013,4.239
02/4/2013,4.085
01/28/2013,3.824
01/21/2013,3.793
01/14/2013,3.744
01/7/2013,3.704
12/31/2012,3.66
12/24/2012,3.635
12/17/2012,3.638
12/10/2012,3.739
12/3/2012,3.799
11/26/2012,3.834
11/19/2012,3.873
11/12/2012,3.919
11/5/2012,4.072
10/29/2012,4.254
10/22/2012,4.522
10/15/2012,4.737
10/8/2012,4.783
10/1/2012,4.26
09/24/2012,4.209
09/17/2012,4.216
09/10/2012,4.248
09/3/2012,4.244
08/27/2012,4.244
08/20/2012,4.215
08/13/2012,4.204
08/6/2012,3.985
07/30/2012,3.919
07/23/2012,3.941
07/16/2012,3.85
07/9/2012,3.792
07/2/2012,3.816
06/25/2012,3.939
06/18/2012,4.078
06/11/2012,4.228
06/4/2012,4.334
05/28/2012,4.394
05/21/2012,4.433
05/14/2012,4.489
05/7/2012,4.311
04/30/2012,4.284
04/23/2012,4.302
04/16/2012,4.34
04/9/2012,4.399
04/2/2012,4.433
03/26/2012,4.478
03/19/2012,4.495
03/12/2012,4.49
03/5/2012,4.455
02/27/2012,4.399
02/20/2012,4.168
02/13/2012,3.967
02/6/2012,3.895
01/30/2012,3.877
01/23/2012,3.84
01/16/2012,3.82
01/9/2012,3.827
01/2/2012,3.759
12/26/2011,3.685
12/19/2011,3.647
12/12/2011,3.693
12/5/2011,3.753
11/28/2011,3.805
11/21/2011,3.867
11/14/2011,3.947
11/7/2011,3.964
10/31/2011,3.942
10/24/2011,3.944
10/17/2011,3.962
10/10/2011,3.895
10/3/2011,3.904
09/26/2011,3.964
09/19/2011,4.006
09/12/2011,4.023
09/5/2011,4.018
08/29/2011,3.89
08/22/2011,3.818
08/15/2011,3.792
08/8/2011,3.872
08/1/2011,3.892
07/25/2011,3.91
07/18/2011,3.89
07/11/2011,3.882
07/4/2011,3.894
06/27/2011,3.932
06/20/2011,3.981
06/13/2011,4.02
06/6/2011,4.066
05/30/2011,4.139
05/23/2011,4.21
05/16/2011,4.305
05/9/2011,4.337
05/2/2011,4.342
04/25/2011,4.292
04/18/2011,4.279
04/11/2011,4.235
04/4/2011,4.139
03/28/2011,4.108
03/21/2011,4.043
03/14/2011,4.024
03/7/2011,3.94
02/28/2011,3.783
02/21/2011,3.621
02/14/2011,3.501
02/7/2011,3.462
01/31/2011,3.439
01/24/2011,3.425
01/17/2011,3.419
01/10/2011,3.398
01/3/2011,3.375
12/27/2010,3.35
12/20/2010,3.309
12/13/2010,3.305
12/6/2010,3.289
11/29/2010,3.215
11/22/2010,3.234
11/15/2010,3.226
11/8/2010,3.188
11/1/2010,3.193
10/25/2010,3.196
10/18/2010,3.203
10/11/2010,3.149
10/4/2010,3.069
09/27/2010,3.035
09/20/2010,3.04
09/13/2010,3.071
09/6/2010,3.08
08/30/2010,3.127
08/23/2010,3.187
08/16/2010,3.213
08/9/2010,3.221
08/2/2010,3.186
07/26/2010,3.196
07/19/2010,3.195
07/12/2010,3.172
07/5/2010,3.175
06/28/2010,3.193
06/21/2010,3.18
06/14/2010,3.12
06/7/2010,3.151
05/31/2010,3.089
05/24/2010,3.118
05/17/2010,3.185
05/10/2010,3.214
05/3/2010,3.192
04/26/2010,3.17
04/19/2010,3.165
04/12/2010,3.172
04/5/2010,3.161
03/29/2010,3.161
03/22/2010,3.175
03/15/2010,3.134
03/8/2010,3.122
03/1/2010,3.086
02/22/2010,3.017
02/15/2010,3.023
02/8/2010,3.064
02/1/2010,3.074
01/25/2010,3.095
01/18/2010,3.118
01/11/2010,3.148
01/4/2010,3.086
12/28/2009,3.023
12/21/2009,2.993
12/14/2009,2.999
12/7/2009,3.016
11/30/2009,3.025
11/23/2009,3.045
11/16/2009,3.058
11/9/2009,3.071
11/2/2009,3.078
10/26/2009,3.069
10/19/2009,3.057
10/12/2009,3.079
10/5/2009,3.123
09/28/2009,3.155
09/21/2009,3.186
09/14/2009,3.202
09/7/2009,3.162
08/31/2009,3.078
08/24/2009,3.08
08/17/2009,3.093
08/10/2009,3.099
08/3/2009,2.975
07/27/2009,2.89
07/20/2009,2.903
07/13/2009,2.956
07/6/2009,3.008
06/29/2009,3.054
06/22/2009,3.073
06/15/2009,3.03
06/8/2009,2.939
06/1/2009,2.791
05/25/2009,2.689
05/18/2009,2.568
05/11/2009,2.477
05/4/2009,2.392
04/27/2009,2.384
04/20/2009,2.384
04/13/2009,2.394
04/6/2009,2.365
03/30/2009,2.305
03/23/2009,2.194
03/16/2009,2.22
03/9/2009,2.247
03/2/2009,2.215
02/23/2009,2.3
02/16/2009,2.314
02/9/2009,2.24
02/2/2009,2.134
01/26/2009,2.119
01/19/2009,2.087
01/12/2009,2.009
01/5/2009,1.887
12/29/2008,1.835
12/22/2008,1.822
12/15/2008,1.77
12/8/2008,1.875
12/1/2008,2.035
11/24/2008,2.241
11/17/2008,2.473
11/10/2008,2.681
11/3/2008,2.904
10/27/2008,3.257
10/20/2008,3.399
10/13/2008,3.492
10/6/2008,3.611
09/29/2008,3.687
09/22/2008,3.74
09/15/2008,3.816
09/8/2008,3.882
09/1/2008,3.936
08/25/2008,4.005
08/18/2008,4.082
08/11/2008,4.158
08/4/2008,4.27
07/28/2008,4.39
07/21/2008,4.536
07/14/2008,4.59
07/7/2008,4.617
06/30/2008,4.638
06/23/2008,4.658
06/16/2008,4.662
06/9/2008,4.467
06/2/2008,4.259
05/26/2008,4.105
05/19/2008,3.967
05/12/2008,3.95
05/5/2008,3.941
04/28/2008,3.93
04/21/2008,3.89
04/14/2008,3.818
04/7/2008,3.732
03/31/2008,3.652
03/24/2008,3.647
03/17/2008,3.643
03/10/2008,3.575
03/3/2008,3.479
02/25/2008,3.326
02/18/2008,3.209
02/11/2008,3.131
02/4/2008,3.112
01/28/2008,3.162
01/21/2008,3.255
01/14/2008,3.322
01/7/2008,3.367
12/31/2007,3.323
12/24/2007,3.255
12/17/2007,3.283
12/10/2007,3.337
12/3/2007,3.37
11/26/2007,3.42
11/19/2007,3.415
11/12/2007,3.374
11/5/2007,3.234
10/29/2007,3.175
10/22/2007,3.182
10/15/2007,3.076
10/8/2007,3.039
10/1/2007,3.013
09/24/2007,3.004
09/17/2007,2.946
09/10/2007,2.871
09/3/2007,2.804
08/27/2007,2.793
08/20/2007,2.87
08/13/2007,2.937
08/6/2007,3.015
07/30/2007,3.059
07/23/2007,3.127
07/16/2007,3.172
07/9/2007,3.144
07/2/2007,3.17
06/25/2007,3.209
06/18/2007,3.248
06/11/2007,3.358
06/4/2007,3.393
05/28/2007,3.432
05/21/2007,3.474
05/14/2007,3.489
05/7/2007,3.509
04/30/2007,3.4
04/23/2007,3.341
04/16/2007,3.334
04/9/2007,3.283
04/2/2007,3.273
03/26/2007,3.189
03/19/2007,3.16
03/12/2007,3.107
03/5/2007,2.903
02/26/2007,2.806
02/19/2007,2.721
02/12/2007,2.638
02/5/2007,2.546
01/29/2007,2.485
01/22/2007,2.554
01/15/2007,2.605
01/8/2007,2.668
01/1/2007,2.636
12/25/2006,2.633
12/18/2006,2.598
12/11/2006,2.545
12/4/2006,2.54
11/27/2006,2.548
11/20/2006,2.546
11/13/2006,2.507
11/6/2006,2.426
10/30/2006,2.469
10/23/2006,2.516
10/16/2006,2.58
10/9/2006,2.643
10/2/2006,2.741
09/25/2006,2.824
09/18/2006,2.912
09/11/2006,3.018
09/4/2006,3.075
08/28/2006,3.179
08/21/2006,3.245
08/14/2006,3.3
08/7/2006,3.281
07/31/2006,3.282
07/24/2006,3.313
07/17/2006,3.335
07/10/2006,3.331
07/3/2006,3.265
06/26/2006,3.237
06/19/2006,3.27
06/12/2006,3.318
06/5/2006,3.37
05/29/2006,3.391
05/22/2006,3.433
05/15/2006,3.451
05/8/2006,3.475
05/1/2006,3.31
04/24/2006,3.129
04/17/2006,2.969
04/10/2006,2.878
04/3/2006,2.823
03/27/2006,2.762
03/20/2006,2.71
03/13/2006,2.626
03/6/2006,2.559
02/27/2006,2.505
02/20/2006,2.554
02/13/2006,2.597
02/6/2006,2.617
01/30/2006,2.583
01/23/2006,2.482
01/16/2006,2.486
01/9/2006,2.368
01/2/2006,2.263
12/26/2005,2.303
12/19/2005,2.326
12/12/2005,2.357
12/5/2005,2.407
11/28/2005,2.483
11/21/2005,2.53
11/14/2005,2.68
11/7/2005,2.746
10/31/2005,2.813
10/24/2005,2.875
10/17/2005,2.938
10/10/2005,3.005
10/3/2005,3.018
09/26/2005,2.976
09/19/2005,2.977
09/12/2005,3.018
09/5/2005,3.046
08/29/2005,2.815
08/22/2005,2.81
08/15/2005,2.779
08/8/2005,2.666
08/1/2005,2.619
07/25/2005,2.59
07/18/2005,2.599
07/11/2005,2.568
07/4/2005,2.502
06/27/2005,2.466
06/20/2005,2.417
06/13/2005,2.383
06/6/2005,2.424
05/30/2005,2.461
05/23/2005,2.486
05/16/2005,2.523
05/9/2005,2.561
05/2/2005,2.616
04/25/2005,2.626
04/18/2005,2.64
04/11/2005,2.648
04/4/2005,2.52
03/28/2005,2.444
03/21/2005,2.4
03/14/2005,2.375
03/7/2005,2.326
02/28/2005,2.261
02/21/2005,2.242
02/14/2005,2.185
02/7/2005,2.151
01/31/2005,2.129
01/24/2005,2.048
01/17/2005,2.034
01/10/2005,2.015
01/3/2005,2.042
12/27/2004,2.073
12/20/2004,2.119
12/13/2004,2.227
12/6/2004,2.261
11/29/2004,2.291
11/22/2004,2.331
11/15/2004,2.376
11/8/2004,2.408
11/1/2004,2.449
10/25/2004,2.479
10/18/2004,2.486
10/11/2004,2.395
10/4/2004,2.256
09/27/2004,2.138
09/20/2004,2.108
09/13/2004,2.101
09/6/2004,2.128
08/30/2004,2.166
08/23/2004,2.101
08/16/2004,2.098
08/9/2004,2.139
08/2/2004,2.173
07/26/2004,2.22
07/19/2004,2.244
07/12/2004,2.258
07/5/2004,2.273
06/28/2004,2.309
06/21/2004,2.333
06/14/2004,2.366
06/7/2004,2.392
05/31/2004,2.409
05/24/2004,2.402
05/17/2004,2.351
05/10/2004,2.299
05/3/2004,2.193
04/26/2004,2.21
04/19/2004,2.242
04/12/2004,2.258
04/5/2004,2.227
03/29/2004,2.16
03/22/2004,2.188
03/15/2004,2.2
03/8/2004,2.226
03/1/2004,2.228
02/23/2004,2.14
02/16/2004,1.963
02/9/2004,1.922
02/2/2004,1.839
01/26/2004,1.798
01/19/2004,1.769
01/12/2004,1.739
01/5/2004,1.681
12/29/2003,1.647
12/22/2003,1.674
12/15/2003,1.698
12/8/2003,1.723
12/1/2003,1.744
11/24/2003,1.756
11/17/2003,1.724
11/10/2003,1.727
11/3/2003,1.76
10/27/2003,1.778
10/20/2003,1.825
10/13/2003,1.861
10/6/2003,1.922
09/29/2003,1.982
09/22/2003,2.052
09/15/2003,2.103
09/8/2003,2.16
09/1/2003,2.178
08/25/2003,2.188
08/18/2003,1.968
08/11/2003,1.77
08/4/2003,1.723
07/28/2003,1.714
07/21/2003,1.734
07/14/2003,1.762
07/7/2003,1.784
06/30/2003,1.813
06/23/2003,1.816
06/16/2003,1.819
06/9/2003,1.74
06/2/2003,1.775
05/26/2003,1.8
05/19/2003,1.853
05/12/2003,1.914
05/5/2003,1.962
04/28/2003,2.003
04/21/2003,2.036
04/14/2003,2.133
04/7/2003,2.16
03/31/2003,2.176
03/24/2003,2.184
03/17/2003,2.181
03/10/2003,2.106
03/3/2003,2.03
02/24/2003,1.933
02/17/2003,1.878
02/10/2003,1.759
02/3/2003,1.678
01/27/2003,1.651
01/20/2003,1.626
01/13/2003,1.584
01/6/2003,1.579
12/30/2002,1.516
12/23/2002,1.5
