Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/22,AQS,60370002,2,13.4,ppb,12,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/2/22,AQS,60370002,2,10.9,ppb,9,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/3/22,AQS,60370002,2,31.5,ppb,29,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/4/22,AQS,60370002,2,33.1,ppb,31,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/5/22,AQS,60370002,2,40.6,ppb,38,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/6/22,AQS,60370002,2,46.1,ppb,43,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/7/22,AQS,60370002,2,43.5,ppb,41,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/8/22,AQS,60370002,2,19.6,ppb,18,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/9/22,AQS,60370002,2,17.9,ppb,16,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/10/22,AQS,60370002,2,22.6,ppb,21,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/11/22,AQS,60370002,2,23,ppb,22,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/12/22,AQS,60370002,2,23.7,ppb,22,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/13/22,AQS,60370002,2,46,ppb,43,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/14/22,AQS,60370002,2,47.2,ppb,44,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/15/22,AQS,60370002,2,39.3,ppb,37,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/16/22,AQS,60370002,2,21.7,ppb,20,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/17/22,AQS,60370002,2,30.2,ppb,28,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/18/22,AQS,60370002,2,25.5,ppb,24,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/19/22,AQS,60370002,2,26.5,ppb,25,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/20/22,AQS,60370002,2,21,ppb,20,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/21/22,AQS,60370002,2,34,ppb,32,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/22/22,AQS,60370002,2,13.5,ppb,12,Azusa,24,100,42602,Nitrogen dioxide (NO2),31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
