State,Tax,Year,Petrol_Consumption_Gal
Alaska,8.95,2020,39434
Alabama,24,2020,104567
Arkansas,24.8,2020,61724
Arizona,19,2020,107893
California,53.3,2020,524183
Connecticut,25,2020,52116
Delaware,23,2020,20253
Florida,34.396,2020,296384
Georgia,27.9,2020,174525
Hawaii,16,2020,33806
Iowa,30.5,2020,85902
Idaho,33,2020,34877
Illinois,39.1,2020,210553
Indiana,30,2020,127331
Kansas,24.03,2020,64376
Kentucky,26,2020,109852
Louisiana,20.00125,2020,411450
Massachusetts,24,2020,89045
Maryland,36.7,2020,79938
Maine,30,2020,31125
Michigan,26.3,2020,152894
Minnesota,28.6,2020,109097
Missouri,17.42,2020,115504
Mississippi,18.4,2020,71827
Montana,32,2020,33185
North Dakota,23,2020,31315
Nebraska,30.2,2020,44559
New Hampshire,23.825,2020,27805
New Jersey,41.4,2020,134336
New Mexico,18.875,2020,46195
Nevada,23.805,2020,48014
New York,25.45,2020,209667
Oklahoma,20,2020,91175
Oregon,36,2020,59411
Pennsylvania,57.6,2020,187642
Rhode Island,35,2020,13442
South Carolina,22.75,2020,93003
South Dakota,30,2020,23512
Tennessee,27.4,2020,129351
Texas,20,2020,1432432
Utah,31.1,2020,55228
Virginia,16.2,2020,147258
Vermont,30.81,2020,14126
Wisconsin,32.9,2020,99799
West Virginia,35.7,2020,35602
Wyoming,24,2020,25911
Colorado ,22,2020,
North Carolina ,36.35,2020,
Ohio ,38.5,2020,
Washington ,49.4,2020,
"Washington, D.C.",23.5,2020,
Alaska,8.95,2019,39256
Alabama,18,2019,105152
Arkansas,21.8,2019,64913
Arizona,19,2019,120232
California,47.7,2019,659386
Connecticut,25,2019,60589
Delaware,23,2019,23421
Florida,31.425,2019,356391
Georgia,27.5,2019,196838
Hawaii,16,2019,47435
Iowa,30.5,2019,91957
Idaho,33,2019,36305
Illinois,20.1,2019,245975
Indiana,29,2019,138206
Kansas,25.03,2019,67961
Kentucky,26,2019,120470
Louisiana,20.125,2019,377657
Massachusetts,24,2019,112970
Maryland,35.3,2019,95670
Maine,30,2019,33213
Michigan,26.3,2019,178100
Minnesota,28.6,2019,127672
Missouri,17.42,2019,124926
Mississippi,18.4,2019,74802
Montana,31.5,2019,33557
North Dakota,23,2019,36068
Nebraska,30.5,2019,47539
New Hampshire,23.825,2019,31117
New Jersey,41.4,2019,165367
New Mexico,18.875,2019,50945
Nevada,23.805,2019,59447
New York,25.75,2019,269999
Oklahoma,20,2019,100478
Oregon,34,2019,66313
Pennsylvania,57.6,2019,222742
Rhode Island,34,2019,15309
South Carolina,20.75,2019,103188
South Dakota,30,2019,23121
Tennessee,26.4,2019,140228
Texas,20,2019,1553367
Utah,30,2019,59148
Virginia,16.2,2019,172331
Vermont,31.19,2019,15636
Washington,49.4,2019,151215
Wisconsin,32.9,2019,111011
West Virginia,35.7,2019,41220
Wyoming,24,2019,28932
Colorado ,22,2019,
North Carolina ,36.45,2019,
Ohio ,28,2019,
"Washington, D.C.",23.5,2019,
Alaska,8.95,2018,38554
Alabama,18,2018,102952
Arkansas,21.8,2018,64111
Arizona,19,2018,117037
California,46.7,2018,662429
Connecticut,25,2018,62658
Delaware,23,2018,23109
Florida,31.425,2018,362824
Georgia,26.8,2018,197803
Hawaii,16,2018,46978
Iowa,30.5,2018,89276
Idaho,33,2018,35562
Illinois,20.1,2018,248372
Indiana,28,2018,137268
Kansas,25.03,2018,66094
Kentucky,26,2018,119588
Louisiana,20.125,2018,369656
Massachusetts,24,2018,113693
Maryland,33.8,2018,96145
Maine,30,2018,33913
Michigan,26.3,2018,180701
Minnesota,28.6,2018,124506
Missouri,17.3,2018,124333
Mississippi,18.4,2018,74106
Montana,31.5,2018,32729
North Dakota,23,2018,35992
Nebraska,29.3,2018,46759
New Hampshire,23.825,2018,31669
New Jersey,37.1,2018,172726
New Mexico,18.875,2018,49987
Nevada,23.805,2018,59720
New York,24.2,2018,276531
Oklahoma,17,2018,103551
Oregon,34,2018,67344
Pennsylvania,57.6,2018,228326
Rhode Island,34,2018,16263
South Carolina,16.75,2018,104777
South Dakota,30,2018,22928
Tennessee,25.4,2018,137696
Texas,20,2018,1529556
Utah,29.4,2018,59715
Virginia,16.2,2018,171953
Vermont,30.72,2018,15330
Washington,49.4,2018,148011
Wisconsin,32.9,2018,110679
West Virginia,35.7,2018,42764
Wyoming,24,2018,29517
Colorado ,22,2018,
North Carolina ,35.35,2018,
Ohio ,28,2018,
"Washington, D.C.",23.5,2018,
Alaska,8.95,2017,38487
Alabama,18,2017,105309
Arkansas,21.8,2017,63280
Arizona,19,2017,115614
California,32.8,2017,660164
Connecticut,25,2017,59570
Delaware,23,2017,21736
Florida,30.925,2017,347347
Georgia,26.3,2017,202845
Hawaii,16,2017,47091
Iowa,30.7,2017,86868
Idaho,33,2017,35060
Illinois,20.1,2017,247898
Indiana,18,2017,136832
Kansas,25.03,2017,64585
Kentucky,26,2017,115027
Louisiana,20.125,2017,383740
Massachusetts,24,2017,110995
Maryland,33.5,2017,94922
Maine,30,2017,35768
Michigan,26.3,2017,175501
Minnesota,28.6,2017,122306
