"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"12540","Bakersfield, CA","366","70","180","102","14",".",".","169","136","80",".",".","230","129","7"
"13860","Bishop, CA","366","244","99","15","4","1","3","426","87","44",".",".","310","18","38"
"17020","Chico, CA","366","169","181","16",".",".",".","127","86","52",".",".","193","173","."
"17340","Clearlake, CA","365","358","7",".",".",".",".","74","44","33",".",".","362","2","1"
"18860","Crescent City, CA","177","172","5",".",".",".",".","65","40","20",".",".",".","177","."
"20940","El Centro, CA","366","105","216","39","3","1","2","541","105","60",".","2","142","99","123"
"21700","Eureka-Arcata-Fortuna, CA","366","326","40",".",".",".",".","74","52","35",".","1","221","138","6"
"23420","Fresno, CA","366","92","169","80","25",".",".","190","140","74",".","1","211","139","15"
"25260","Hanford-Corcoran, CA","366","85","207","71","3",".",".","156","115","70",".",".","182","135","49"
"31080","Los Angeles-Long Beach-Anaheim, CA","366","32","226","83","21","4",".","210","134","75",".","28","178","158","2"
"31460","Madera, CA","366","123","193","47","3",".",".","156","105","59",".",".","212","139","15"
"32900","Merced, CA","366","158","173","33","2",".",".","151","100","53",".",".","222","142","2"
"33700","Modesto, CA","366","147","176","40","3",".",".","164","103","55",".",".","196","164","6"
"34900","Napa, CA","366","296","70",".",".",".",".","90","56","37",".","1","160","204","1"
"37100","Oxnard-Thousand Oaks-Ventura, CA","366","173","184","9",".",".",".","147","84","51",".",".","226","133","7"
"39780","Red Bluff, CA","366","226","98","37","5",".",".","174","108","44",".",".","322","43","1"
"39820","Redding, CA","366","298","54","14",".",".",".","140","74","41",".",".","362","4","."
"40140","Riverside-San Bernardino-Ontario, CA","366","16","189","92","53","14","2","389","178","90",".","23","193","109","41"
"40900","Sacramento--Roseville--Arden-Arcade, CA","366","130","177","44","15",".",".","172","114","58",".",".","236","130","."
"41500","Salinas, CA","366","325","30","3","8",".",".","176","52","35.5",".",".","248","73","45"
"41740","San Diego-Carlsbad, CA","366","69","255","40","2",".",".","164","105","66",".","4","220","142","."
"41860","San Francisco-Oakland-Hayward, CA","366","216","135","13","2",".",".","154","74","47",".","8","154","204","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","366","250","110","6",".",".",".","126","68","44",".","5","233","128","."
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","366","177","180","8","1",".",".","156","84","51",".",".","247","85","34"
"42100","Santa Cruz-Watsonville, CA","366","347","19",".",".",".",".","72","45","32",".",".","245","121","."
"42200","Santa Maria-Santa Barbara, CA","366","261","93","9","2",".","1","315","67","44",".",".","247","82","37"
"42220","Santa Rosa, CA","366","348","18",".",".",".",".","87","44","32",".",".","294","69","3"
"43760","Sonora, CA","354","223","86","38","7",".",".","164","108","44",".",".","354",".","."
"44700","Stockton-Lodi, CA","366","138","202","25","1",".",".","166","93","55",".","1","140","221","4"
"46020","Truckee-Grass Valley, CA","366","235","86","40","5",".",".","179","101","44",".",".","358","8","."
"46380","Ukiah, CA","364","334","30",".",".",".",".","66","45","33",".",".","181","181","2"
"46700","Vallejo-Fairfield, CA","366","278","86","2",".",".",".","105","62","40",".","3","204","159","."
"47300","Visalia-Porterville, CA","366","80","162","102","22",".",".","177","145","77",".",".","220","139","7"
"49700","Yuba City, CA","366","166","168","32",".",".",".","147","97","52.5",".",".","200","166","."
